BAIT_SET	NexteraRapidCapture_Exome_Probes_v1
GENOME_SIZE	3101804739
BAIT_TERRITORY	29995334
TARGET_TERRITORY	45315485
BAIT_DESIGN_EFFICIENCY	1.510751
TOTAL_READS	62380600
PF_READS	62380600
PF_UNIQUE_READS	57123444
PCT_PF_READS	1
PCT_PF_UQ_READS	0.915725
PF_UQ_READS_ALIGNED	52799031
PCT_PF_UQ_READS_ALIGNED	0.924297
PF_UQ_BASES_ALIGNED	7060871758
ON_BAIT_BASES	2398189069
NEAR_BAIT_BASES	2220346955
OFF_BAIT_BASES	2442335734
ON_TARGET_BASES	3262970970
PCT_SELECTED_BASES	0.654103
PCT_OFF_BAIT	0.345897
ON_BAIT_VS_SELECTED	0.519253
MEAN_BAIT_COVERAGE	79.952071
MEAN_TARGET_COVERAGE	73.202438
PCT_USABLE_BASES_ON_BAIT	0.282414
PCT_USABLE_BASES_ON_TARGET	0.384252
FOLD_ENRICHMENT	35.122535
ZERO_CVG_TARGETS_PCT	0.015335
FOLD_80_BASE_PENALTY	2.287576
PCT_TARGET_BASES_2X	0.975184
PCT_TARGET_BASES_10X	0.946028
PCT_TARGET_BASES_20X	0.893457
PCT_TARGET_BASES_30X	0.813332
PCT_TARGET_BASES_40X	0.712353
PCT_TARGET_BASES_50X	0.605265
PCT_TARGET_BASES_100X	0.233002
HS_LIBRARY_SIZE	88117956
HS_PENALTY_10X	5.111817
HS_PENALTY_20X	5.2898
HS_PENALTY_30X	5.484733
HS_PENALTY_40X	5.705092
HS_PENALTY_50X	5.952573
HS_PENALTY_100X	7.823934
AT_DROPOUT	0
GC_DROPOUT	0
SAMPLE	
LIBRARY	
READ_GROUP	
